logical_id,event_datetime,reviewer,event_type,gate,criterion_before,criterion_after,notes,evidence_path
036_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
054_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
067_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
081_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
097_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
156_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
217_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
234_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
273_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
287_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
305_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
326_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
328_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
342_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
355_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
368_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
369_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
375_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
377_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
388_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
396_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
449_ACM,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
694_IEEE,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
714_IEEE,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
741_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
745_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
767_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
776_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
777_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
785_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
786_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
800_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
805_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
824_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
827_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
831_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
